"idp","biomass","troph_r"
1338358,137.531609578597,1.74408
1333038,288.967924878452,2.69836
1306574,156.47423746496,1.36839
1309368,220.829723827635,1.699
1308833,262.244011628027,2.21489
1302109,6.61910648040697,3.03603
1331695,79.930068922309,5.36407
1305800,320.614870719373,1.8525
1316856,192.509585942462,1.46528
1343566,125.1151395197,1.27437
1304228,37.5544499597271,2.78378
1347253,803.611027923315,6.868
1331452,264.523872065948,1.61359
1342982,53.8314324637382,1.23953
1309322,7.43652516448143,3.36347
1319677,320.160947950785,1.58423
1347440,335.624182820318,0.945797
1352753,299.663416025676,1.18595
1348031,444.422893929373,1.43098
1301703,172.715331131007,1.8479
1343366,443.964760254523,2.21335
1304689,180.613638506682,2.42297
1323785,227.044493282176,1.37353
1319644,131.278811634717,1.91356
1344559,180.064702863926,3.82033
1323304,169.196658456298,1.6103
1344432,416.966038130806,2.40889
1324464,197.406393603876,5.16646
1327098,158.687437410273,1.31339
1353393,189.017444207218,3.22283
1303474,256.335592292554,1.97802
1336402,545.292835499497,3.59171
1325153,213.122463566538,2.39619
1349399,97.5534644255111,0.761344
1312187,2.59482944225142,2.68606
1354500,161.453373672914,2.84646
1301087,418.41484064788,6.78883
1354108,443.770795008084,7.26892
1318887,511.646554036953,5.87928
1331181,256.863531804744,1.42085
1309328,361.246945923243,3.29311
1340801,228.489362723719,1.30872
1351958,249.098504378184,6.50072
1326028,184.714881319036,1.14084
1347741,198.396975607726,1.96658
1345332,356.415500419664,1.79458
1314747,215.227880752432,3.32537
1346267,294.540044257069,3.16709
1351115,377.374943799465,2.17905
1428318,220.061474744291,4.65114
1419597,285.526613357176,2.15659
1402833,494.113237381991,1.00255
1431192,104.067248344582,1.90534
1411999,337.10652059924,1.44428
1417271,361.484761053974,1.80688
1415865,88.915182595207,3.68203
1453603,204.572598056632,1.06122
1450613,157.380688335739,2.75055
1426985,76.6933356120321,1.41537
1408312,300.512790966678,1.04846
1444201,102.917322129517,1.16176
1412936,228.591243433286,2.96603
1430522,91.451162631342,1.53722
1443810,347.179759764866,0.877482
1402306,162.017078784593,1.25222
1438924,366.284047322791,2.30234
1454222,181.366976389382,1.56444
1436090,34.3067188209433,1.08299
1434119,249.712600564381,6.5
1425688,241.558625320979,1.90176
1438333,132.032490064966,2.26729
1416613,126.699541537609,2.16558
1448955,500.957652361558,1.85831
1443916,178.617997977475,7.14009
1417756,203.647541899033,2.69878
1441090,399.19847689548,1.43212
